iter	Passed	Remaining
444	8104	10107
445	8121	10088
446	8136	10066
447	8153	10046
448	8169	10025
449	8183	10002
450	8198	9980
451	8213	9958
452	8232	9940
453	8246	9917
454	8261	9895
455	8276	9873
456	8289	9849
457	8303	9826
458	8318	9804
459	8332	9781
460	8347	9759
461	8362	9737
462	8376	9715
463	8390	9691
464	8405	9670
465	8420	9649
466	8434	9626
467	8449	9605
468	8464	9583
469	8479	9561
470	8494	9540
471	8509	9519
472	8524	9497
473	8537	9474
474	8552	9452
475	8567	9431
476	8582	9410
477	8597	9388
478	8612	9367
479	8625	9344
480	8640	9323
481	8653	9299
482	8667	9277
483	8682	9256
484	8697	9235
485	8712	9214
486	8726	9192
487	8740	9169
488	8754	9148
489	8769	9127
490	8783	9105
491	8798	9084
492	8812	9062
493	8826	9041
494	8841	9019
495	8855	8998
496	8870	8977
497	8884	8956
498	8899	8935
499	8914	8914
500	8929	8893
501	8944	8873
502	8959	8852
503	8974	8831
504	8989	8811
505	9004	8790
506	9019	8769
507	9034	8749
508	9046	8726
509	9061	8705
510	9076	8685
511	9092	8666
512	9109	8647
513	9125	8628
514	9149	8616
515	9165	8597
516	9178	8575
517	9195	8556
518	9210	8535
519	9224	8515
520	9239	8494
521	9256	8476
522	9272	8456
523	9286	8436
524	9302	8416
525	9317	8396
526	9332	8376
527	9347	8356
528	9362	8336
529	9375	8314
530	9390	8294
531	9405	8274
532	9420	8253
533	9435	8233
534	9449	8212
535	9463	8192
536	9478	8172
537	9496	8154
538	9511	8135
539	9526	8114
540	9540	8094
541	9556	8075
542	9570	8055
543	9588	8037
544	9604	8018
545	9621	8000
546	9636	7980
547	9652	7961
548	9672	7945
549	9690	7928
550	9705	7908
551	9720	7888
552	9735	7869
553	9750	7849
554	9765	7830
555	9779	7809
556	9795	7790
557	9810	7771
558	9825	7751
559	9841	7732
560	9854	7711
561	9868	7691
562	9882	7670
563	9897	7651
564	9913	7632
565	9928	7613
566	9943	7593
567	9958	7573
568	9972	7554
569	9987	7534
570	10002	7515
571	10016	7494
572	10035	7478
573	10054	7462
574	10073	7445
575	10091	7428
576	10107	7409
577	10126	7393
578	10155	7383
579	10177	7369
580	10196	7353
581	10221	7341
582	10238	7322
583	10254	7304
584	10269	7285
585	10284	7265
586	10298	7246
587	10313	7226
588	10329	7207
589	10345	7189
590	10361	7170
591	10375	7150
592	10390	7131
593	10406	7112
594	10420	7092
595	10434	7073
596	10448	7053
597	10463	7033
598	10478	7014
599	10498	6998
600	10515	6980
601	10530	6962
602	10545	6943
603	10562	6925
604	10577	6905
605	10591	6886
606	10606	6867
607	10621	6847
608	10636	6828
609	10650	6809
610	10665	6790
611	10680	6771
612	10696	6752
613	10711	6733
614	10724	6713
615	10739	6694
616	10754	6675
617	10768	6656
618	10782	6636
619	10796	6617
620	10811	6598
621	10828	6580
622	10843	6561
623	10858	6543
624	10874	6524
625	10890	6506
626	10909	6490
627	10926	6472
628	10942	6454
629	10957	6435
630	10973	6417
631	10987	6397
632	11005	6380
633	11022	6363
634	11037	6344
635	11052	6325
636	11067	6306
637	11081	6287
638	11096	6268
639	11111	6250
640	11125	6230
641	11140	6212
642	11156	6194
643	11172	6175
644	11193	6160
645	11213	6144
646	11230	6127
647	11248	6110
648	11265	6092
649	11282	6075
650	11302	6058
651	11315	6039
652	11330	6020
653	11348	6004
654	11364	5985
655	11383	5969
656	11397	5950
657	11417	5934
658	11430	5914
659	11445	5896
660	11461	5877
661	11480	5861
662	11501	5846
663	11529	5834
664	11546	5816
665	11644	5839
666	11659	5821
667	11677	5803
668	11716	5796
669	11732	5778
670	11748	5760
671	11764	5742
672	11781	5724
673	11797	5706
674	11815	5688
675	11840	5675
676	11933	5693
677	11989	5693
678	12049	5696
679	12085	5687
680	12114	5675
681	12150	5665
682	12166	5646
683	12187	5630
684	12218	5618
685	12237	5601
686	12253	5582
687	12270	5564
688	12286	5545
689	12302	5527
690	12321	5509
691	12336	5490
692	12353	5472
693	12369	5454
694	12385	5435
695	12399	5415
696	12413	5396
697	12428	5377
698	12442	5357
699	12457	5338
700	12472	5320
701	12486	5300
702	12501	5281
703	12516	5262
704	12531	5243
705	12546	5224
706	12561	5205
707	12576	5187
708	12591	5168
709	12606	5149
710	12621	5130
711	12638	5112
712	12656	5094
713	12671	5075
714	12686	5056
715	12701	5037
716	12716	5019
717	12731	5000
718	12746	4981
719	12761	4962
720	12776	4944
721	12791	4925
722	12807	4906
723	12822	4888
724	12837	4869
725	12852	4850
726	12868	4832
727	12882	4813
728	12896	4794
729	12912	4775
730	12930	4758
731	12945	4739
732	12960	4720
733	12975	4702
734	12990	4683
735	13006	4665
736	13021	4646
737	13036	4628
738	13051	4609
739	13065	4590
740	13078	4571
741	13093	4552
742	13108	4534
743	13123	4515
744	13139	4497
745	13154	4478
746	13170	4460
747	13185	4442
748	13202	4424
749	13219	4406
750	13236	4388
751	13250	4369
752	13266	4351
753	13280	4332
754	13295	4314
755	13311	4296
756	13325	4277
757	13340	4259
758	13355	4240
759	13370	4222
760	13384	4203
761	13399	4185
762	13413	4166
763	13428	4148
764	13442	4129
765	13457	4110
766	13472	4092
767	13487	4074
768	13503	4056
769	13518	4037
770	13532	4019
771	13546	4000
772	13561	3982
773	13575	3964
774	13593	3946
775	13609	3928
776	13624	3910
777	13637	3891
778	13652	3873
779	13666	3854
780	13680	3836
781	13694	3817
782	13708	3799
783	13723	3780
784	13736	3762
785	13751	3744
786	13767	3726
787	13783	3708
788	13798	3690
789	13812	3671
790	13828	3653
791	13844	3635
792	13859	3617
793	13874	3599
794	13888	3581
795	13903	3563
796	13917	3544
797	13931	3526
798	13948	3508
799	13963	3490
800	13978	3472
801	13993	3454
802	14008	3436
803	14023	3418
804	14040	3401
805	14055	3383
806	14070	3365
807	14085	3346
808	14099	3328
809	14114	3310
810	14129	3292
811	14143	3274
812	14159	3256
813	14174	3238
814	14189	3220
815	14203	3202
816	14218	3184
817	14234	3167
818	14250	3149
819	14265	3131
820	14280	3113
821	14294	3095
822	14310	3077
823	14326	3059
824	14341	3042
825	14356	3024
826	14370	3006
827	14385	2988
828	14400	2970
829	14414	2952
830	14430	2934
831	14446	2917
832	14463	2899
833	14479	2881
834	14494	2864
835	14508	2846
836	14523	2828
837	14538	2810
838	14554	2792
839	14569	2775
840	14589	2758
841	14603	2740
842	14619	2722
843	14633	2704
844	14648	2686
845	14663	2669
846	14679	2651
847	14694	2633
848	14709	2616
849	14723	2598
850	14738	2580
851	14753	2562
852	14769	2545
853	14784	2527
854	14798	2509
855	14813	2491
856	14828	2474
857	14844	2456
858	14858	2438
859	14872	2421
860	14887	2403
861	14901	2385
862	14918	2368
863	14933	2350
864	14949	2333
865	14966	2315
866	14982	2298
867	14997	2280
868	15012	2263
869	15026	2245
870	15042	2227
871	15056	2210
872	15071	2192
873	15087	2175
874	15104	2157
875	15120	2140
876	15135	2122
877	15151	2105
878	15166	2087
879	15181	2070
880	15196	2052
881	15211	2035
882	15225	2017
883	15240	1999
884	15254	1982
885	15270	1964
886	15285	1947
887	15300	1929
888	15314	1912
889	15329	1894
890	15344	1877
891	15359	1859
892	15372	1841
893	15387	1824
894	15402	1806
895	15416	1789
896	15431	1771
897	15446	1754
898	15461	1737
899	15475	1719
900	15488	1701
901	15503	1684
902	15517	1666
903	15532	1649
904	15546	1632
905	15561	1614
906	15576	1597
907	15595	1580
908	15613	1563
909	15631	1545
910	15649	1528
911	15665	1511
912	15681	1494
913	15695	1476
914	15710	1459
915	15725	1442
916	15740	1424
917	15755	1407
918	15770	1389
919	15784	1372
920	15799	1355
921	15815	1337
922	15831	1320
923	15846	1303
924	15861	1286
925	15875	1268
926	15890	1251
927	15905	1234
928	15919	1216
929	15933	1199
930	15948	1181
931	15962	1164
932	15977	1147
933	15992	1130
934	16007	1112
935	16021	1095
936	16036	1078
937	16053	1061
938	16068	1043
939	16083	1026
940	16099	1009
941	16114	992
942	16128	974
943	16144	957
944	16158	940
945	16172	923
946	16187	905
947	16202	888
948	16216	871
949	16231	854
950	16246	837
951	16261	819
952	16277	802
953	16295	785
954	16311	768
955	16328	751
956	16345	734
957	16361	717
958	16375	700
959	16389	682
960	16403	665
961	16418	648
962	16434	631
963	16450	614
964	16465	597
965	16479	580
966	16494	562
967	16508	545
968	16524	528
969	16539	511
970	16553	494
971	16567	477
972	16582	460
973	16597	443
974	16613	425
975	16629	408
976	16643	391
977	16657	374
978	16672	357
979	16687	340
980	16701	323
981	16717	306
982	16730	289
983	16744	272
984	16759	255
985	16775	238
986	16790	221
987	16806	204
988	16821	187
989	16835	170
990	16851	153
991	16865	136
992	16882	119
993	16897	101
994	16912	84
995	16927	67
996	16943	50
997	16959	33
998	16977	16
999	16993	0
